ID,name,Food Group,Calories,Fat,Protein,Carbohydrate,Sugars,Fiber,Saturated Fat,Calcium,Iron,Potassium,Magnesium,Vitamin A,Vitamin C,Vitamin B12,Vitamin E,Phosphorus,Sodium,Zinc,Copper,Manganese,Selenium,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Choline,Vitamin D,Vitamin K
789150,Fruit Sauce,Sweets,223.0,7.46,0.44,40.42,36.23,0.6,4.613,11,0.24,105,7,64,24.4,0.02,0.35,12,4,0.06,0.026000000000000000,0.0,0.6,0.032,0.035,0.221,0.033,10,5.3,0,1.2
170279,Fruit Snacks With High Vitamin C,Sweets,352.0,0.0,0.08,87.97,68.18,0.0,0.0,0,0.0,8,1,0,136.4,0.0,0.0,3,23,0.19,0.015,0.014000000000000000,1.1,0.025,0.008,0.008,0.001,1,0.3,0,0.0
167953,Fruit Syrup,Sweets,341.0,0.0,0.0,85.13,53.0,0.1,0.0,8,0.04,7,1,0,1.6,0.0,0.01,0,0,0.26,0.018000000000000000,0.061,0.8,0.033,0.012,0.012,0.001,0,0.2,0,0.1
789255,Fudge Chocolate,Sweets,411.0,10.41,2.39,76.44,73.12,1.7,6.4480000000000000,49,1.77,134,36,44,0.0,0.09,0.18,71,45,1.11,0.32900000000000000,0.0,2.5,0.026000000000000000,0.085,0.17600000000000000,0.012,4,10.0,0,1.4
789256,Fudge Chocolate With Nuts,Sweets,461.0,18.93,4.38,67.93,63.37,2.5,6.489,57,1.97,183,55,38,0.2,0.07,0.26,114,39,1.43,0.526,0.0,2.9,0.067,0.095,0.315,0.08800000000000000,16,14.6,0,1.6
789257,Fudge Peanut Butter,Sweets,436.0,16.84,6.3,67.3,62.58,1.2,5.105,41,0.45,175,44,35,0.0,0.06,2.36,106,141,0.74,0.10800000000000000,0.0,2.3,0.048,0.10300000000000000,3.282,0.11600000000000000,22,19.6,0,0.4
789258,Fudge Peanut Butter With Nuts,Sweets,475.0,23.04,7.77,61.63,55.99,1.9,5.44,47,0.74,216,60,31,0.1,0.05,2.42,138,137,1.04,0.26900000000000000,0.0,2.7,0.076,0.11200000000000000,3.388,0.16700000000000000,31,23.2,0,0.7
167579,Fudge Vanilla,Sweets,383.0,5.45,1.05,82.15,79.77,0.0,3.3820000000000000,38,0.02,49,3,46,0.0,0.08,0.14,30,47,0.15,0.004,0.002,1.7,0.014000000000000000,0.07400000000000000,0.038,0.009000000000000000,1,5.3,0,0.5
167580,Fudge Vanilla With Nuts,Sweets,435.0,13.69,3.0,74.61,71.0,0.9,3.8280000000000000,47,0.41,103,24,41,0.1,0.07,0.22,73,42,0.56,0.21900000000000000,0.466,2.2,0.051,0.085,0.179,0.077,12,10.0,0,0.8
169599,Gelatin,Sweets,335.0,0.1,85.6,0.0,0.0,0.0,0.07,55,1.11,16,22,0,0.0,0.0,0.0,39,196,0.14,2.161,0.105,39.5,0.025,0.23,0.085,0.007000000000000000,30,38.5,0,0.0
789167,Gelatin Dessert,Sweets,62.0,0.0,1.22,14.19,13.49,0.0,0.0,3,0.02,1,1,0,0.0,0.0,0.0,22,75,0.01,0.024,0.0,1.1,0.0,0.006,0.001,0.0,1,0.5,0,0.0
789172,Gelatin Dessert With Cream Cheese,Sweets,83.0,2.52,1.58,13.56,12.78,0.0,1.476,10,0.03,11,2,22,0.0,0.02,0.06,28,92,0.05,0.024,0.0,1.6,0.002,0.022000000000000000,0.008,0.004,2,2.4,0,0.2
789169,Gelatin Dessert With Fruit,Sweets,65.0,0.09,1.09,16.11,13.36,0.6,0.029000000000000000,5,0.12,97,7,1,2.1,0.0,0.05,21,48,0.04,0.053,0.0,0.9,0.018000000000000000,0.029000000000000000,0.15,0.079,4,3.0,0,2.7
789175,Gelatin Dessert With Fruit And Cream Cheese,Sweets,79.0,1.72,1.33,15.61,12.9,0.6,0.99,9,0.12,99,7,16,2.0,0.01,0.09,25,61,0.06,0.051,0.0,1.2,0.018000000000000000,0.039,0.147,0.078,4,4.2,0,2.6
789179,Gelatin Dessert With Fruit And Vegetables,Sweets,61.0,0.06,1.02,15.05,13.49,0.6,0.016,7,0.11,65,3,2,1.4,0.0,0.08,21,55,0.03,0.047,0.0,0.7,0.017,0.024,0.065,0.026000000000000000,3,2.2,0,4.5
789176,Gelatin Dessert With Fruit Vegetable And Nuts,Sweets,76.0,2.21,1.42,13.87,12.2,0.6,0.21600000000000000,9,0.19,71,8,2,1.3,0.0,0.07,31,50,0.13,0.096,0.0,0.8,0.027000000000000000,0.027000000000000000,0.096,0.041000000000000000,5,3.3,0,3.9
789173,Gelatin Dessert With Sour Cream,Sweets,92.0,4.28,1.49,12.08,11.26,0.0,2.2430000000000000,25,0.03,28,3,27,0.2,0.05,0.08,34,65,0.08,0.023,0.0,1.7,0.004,0.042,0.021,0.009000000000000000,2,4.6,0,0.3
789170,Gelatin Dessert With Whipped Cream,Sweets,81.0,1.83,1.22,14.83,14.18,0.0,1.578,3,0.03,2,1,1,0.0,0.0,0.07,21,71,0.01,0.024,0.0,1.2,0.0,0.006,0.001,0.0,1,0.5,0,0.5
789177,Gelatin Salad With Vegetables,Sweets,51.0,0.03,1.11,12.12,11.1,0.3,0.008,7,0.07,45,3,35,5.4,0.0,0.06,22,237,0.04,0.031,0.0,0.9,0.008,0.013000000000000000,0.091,0.025,4,1.6,0,2.3
789163,Guava Paste,Sweets,282.0,0.04,0.1,72.83,71.62,1.1,0.012,3,0.09,69,2,4,43.9,0.0,0.16,3,2,0.06,0.028000000000000000,0.0,0.6,0.008,0.017,0.126,0.027000000000000000,2,1.2,0,0.6
